Session,Task,Type,Notes,English,Dutch
1,Intro,Initial intro,,"During this experiment you will be trained to detect subtle differences in the orientation of stripes in so-called Gabor patches and to associate words with patches of different orientations. You will repeat two tasks over and over in five sessions of a maximum of 45 minutes. In the first task you will be presented with two patches with stripes of a certain orientation, one after the other, and you have to indicate whether the stripes in the patches had the same or a different orientation. In the second task, you are shown one patch at a time and you have to sort it into one of two categories. These two categories will be named so that it will be easier for you to tell them apart. As mentioned, this experiment consists of five sessions and it is very important that you complete all five sessions. If you miss a session, your participation will be automatically canceled and you will not be able to complete the experiment.","Tijdens dit experiment word je getraind om subtiele verschillen te detecteren in de oriëntatie van strepen in zogenaamde Gabor patches en om woorden te associëren met patches van verschillende oriëntaties. Je gaat in vijf sessies van maximaal 45 minuten twee taken steeds herhalen. In de eerste taak zal je steeds twee patches met strepen van een bepaalde oriëntatie te zien krijgen, de één na de ander, en moet je aangeven of de strepen in de patches dezelfde of een andere oriëntatie hadden. In de tweede taak krijg je steeds één patch te zien en moet je deze in één van twee categorieën indelen. Deze twee categorieën zullen een naam krijgen zodat het makkelijker zal zijn voor je om ze uit elkaar te houden. Zoals gezegd bestaat dit experiment uit vijf sessies en het is van groot belang dat je alle vijf de sessies voltooit. Als je een sessie mist dan wordt je deelname automatisch geannuleerd en kun je het experiment niet meer afmaken."
1,Intro session1,Intro session1,counterbalance buttons,"Welcome to the first session! To start with, we first want to establish how well you can tell the difference between patches with stripes of different orientations without any training. For this you always get to see two Gabor patches one after the other. Your job is to indicate whether the stripes in the patches have the same or a different orientation. Press 'Z' if they had the same orientation and '.' if they had a different orientation.",Welkom in de eerste sessie! Om te beginnen willen we eerst vaststellen hoe goed je het verschil kan zien tussen patches met strepen van verschillende oriëntaties zonder enige training. Daarvoor krijg je zo steeds twee Gabor patches na elkaar te zien. Jouw taak is om aan te geven of de strepen in de patches dezelfde of een andere oriëntatie hebben. Druk op ‘<<same>>’ als ze dezelfde oriëntatie hadden en op ‘<<diff>>’ als ze een andere oriëntatie hadden.
all,All,get ready,,"Place one index finger on ""Z"" and the other on ""."" in preparation. Then press the spacebar to get started.",Plaats je een wijsvinger op ‘Z’ en de andere op ‘.’ als voorbereiding. Druk daarna op de spatiebalk om te beginnen.
1,Practice session1,end practice,,These were the practice trials. Press 'practice again' if you want to practice again. Press the spacebar when you are ready to begin the task.,Dit waren de oefentrials. Druk op 'opnieuw oefenen' als je nog een keer wil oefenen. Druk op de spatiebalk als je klaar bent om met de taak te beginnen.
1,practice2 session1,staircase,,"You're going to practice some more. You will still receive feedback on your answers. The difference is that the task will now become more difficult as you get more answers right. The task remains the same: judge whether the stripes in the patches had the same or a different orientation. The 'real' experiment begins now. When you are ready, press space.","Je gaat nu nog wat oefenen. Je krijgt daarbij nog steeds feedback op je antwoorden. Het verschil is dat de taak nu moeilijker zal worden naarmate je meer antwoorden goed hebt. De taak blijft verder hetzelfde: beoordeel of de strepen in de patches dezelfde of een andere oriëntatie hadden. Het 'echte' experiment begint nu. Als je klaar bent, druk dan op the spatiebalk."
1,Same-different,detailed instructions1,counterbalance buttons,"Well done! You are now ready to begin the real task. The task remains the same: judge whether the stripes in the patches had the same or a different orientation. The difference is that you no longer get feedback. So you will no longer see whether your answer was right or wrong, but you should still try to answer as well as possible. Press 'Z' if they had the same orientation and '.' if they had a different orientation. For clarity, only press 'Z' if the stripes were exactly the same orientation; if not, press '.'. Note: to test if you are paying attention the task will occasionally deviate slightly, you will then be asked to press one of the buttons. For example, it says: 'Press the button for 'same''. In that case, press 'Z'. The task consists of four short blocks. You can take a short break between blocks. When you're done, press space.","Goed gedaan! Je bent nu klaar om met de echte taak te beginnen. De taak blijft hetzelfde: beoordeel of de strepen in de patches dezelfde of een andere oriëntatie hadden. Het verschil is dat je nu geen feedback meer krijgt. Je zult dus niet meer zien of je antwoord goed of fout was, maar moet nog steeds proberen zo goed mogelijk te antwoorden. Druk op ‘<<same>>’ als ze dezelfde oriëntatie hadden en op ‘<<diff>>’ als ze een andere oriëntatie hadden. Voor de duidelijkheid: druk alleen op ‘<<same>>’ als de strepen precies dezelfde oriëntatie hadden; als dat niet zo was, druk dan op ‘<<diff>>’. Let op: om te testen of je oplet zal de taak heel af en toe iets afwijken, je zult dan gevraagd worden om op één van de knoppen te drukken. Er staat dan bijvoorbeeld: 'Druk op de knop voor ‘zelfde’'. In dat geval druk je dus op ‘<<same>>’. De taak bestaat uit vier korte blokken. Tussen de blokken kun je een korte pauze nemen. Als je klaar bent, druk dan op de spatiebalk."
all,All,Break,,"Now take a break. When you're done, place one index finger on ""Z"" and the other on ""."" and hit the spacebar to get started.",Neem nu even pauze. Plaats als je klaar bent je ene wijsvinger op ‘Z’ en de andere op ‘.’ en druk op de spatiebalk om te beginnen.
all,All,Next task,,"This was the end of this task, press 'next' to move on to the second task.","Dit was het einde van deze taak, druk op 'volgende' om verder te gaan naar de tweede taak."
1,Categorization,detailed instructions2,fill in number of blocks,"Awesome! Now we are finally going to learn some 'language'. In the next task you will be trained to divide the Gabor patches into two categories. One category is called 'knurp' and the other 'blag'. You will always see a patch and then have to indicate whether it is a 'knurp' or 'blag'. The two answer options are not tied to a button. These words will appear at the bottom left and right of the patch so you know whether the left button ('Z') or right button ('.') is 'knurp' or 'blag'. Sometimes the words will switch sides. So pay attention to this! In the beginning, this task will probably be very difficult, as you will have to figure out which patches belong to 'knurp' and which to 'blag'. You will therefore always receive feedback on your answer so that you can learn which orientation is 'knurp' and which is 'blag'. The task consists of [NUMBER OF] blocks of approximately three minutes each. You can take a short break between blocks. When you're ready, press space.","Geweldig! Nu gaan we eindelijk wat ‘taal‘ leren. In de volgende taak zal je getraind worden om de Gabor patches in twee categorieën in te delen. De ene categorie heet ‘knurp’ en de andere ‘blag’. Je krijgt steeds een patch te zien en moet dan aangeven of het om een ‘knurp’ of ‘blag’ gaat. De twee antwoordmogelijkheden zijn niet gebonden aan een knop. Deze woorden zullen links- en rechtsonder de patch komen te staan zodat je weet of de linkerknop (‘Z’) of rechterknop (‘.’) ‘knurp’ of ‘blag’ is. Soms zullen de woorden van kant wisselen. Let hier dus goed op! In het begin zal deze taak waarschijnlijk heel moeilijk zijn, want je moet zelf uitvinden welke patches bij ‘knurp’ horen en welke bij ‘blag’. Je krijgt daarom steeds feedback op je antwoord zodat je kan leren welke oriëntatie ‘knurp’ is en welke ‘blag’. De taak bestaat uit 2 blokken van elk ongeveer drie minuten. Tussen de blokken kun je een korte pauze nemen. Als je klaar bent, druk dan op de spatiebalk."
2,Intro session2,welcome back2,fill in number of blocks,"Welcome back! This is the second session of the experiment. You just need to do the language task today. As a reminder: you will always see a patch and then have to indicate whether it is a 'knurp' or 'blag' patch. You get feedback on your answers again and the task consists of [NUMBER OF] blocks with breaks in between. When you're ready, press space.","Welkom terug! Dit is de tweede sessie van het experiment. Je hoeft vandaag alleen de taaltaak uit te voeren. Ter herinnering: je krijgt steeds een patch te zien en moet dan aangeven of het om een ‘knurp’ of ‘blag’-patch gaat. Je krijgt weer feedback op je antwoorden en de taak bestaat uit 10 blokken met pauzes ertussen.
Als je klaar bent, druk dan op de spatiebalk."
