List_Number	Angles	Label1	Label2	Same_key	Diff_key	Transfer_Task_Order	Grating_Frequency
1	29.5 32.5 35.5 38.5	knurp	blag	a	l	1	0.027 0.031 0.035 0.039
2	29.5 32.5 35.5 38.5	knurp	blag	a	l	1	0.034 0.038 0.042 0.046
3	29.5 32.5 35.5 38.5	knurp	blag	a	l	2	0.027 0.031 0.035 0.039
4	29.5 32.5 35.5 38.5	knurp	blag	a	l	2	0.034 0.038 0.042 0.046
5	29.5 32.5 35.5 38.5	knurp	blag	l	a	1	0.027 0.031 0.035 0.039
6	29.5 32.5 35.5 38.5	knurp	blag	l	a	1	0.034 0.038 0.042 0.046
7	29.5 32.5 35.5 38.5	knurp	blag	l	a	2	0.027 0.031 0.035 0.039
8	29.5 32.5 35.5 38.5	knurp	blag	l	a	2	0.034 0.038 0.042 0.046
9	29.5 32.5 35.5 38.5	blag	knurp	a	l	1	0.027 0.031 0.035 0.039
10	29.5 32.5 35.5 38.5	blag	knurp	a	l	1	0.034 0.038 0.042 0.046
11	29.5 32.5 35.5 38.5	blag	knurp	a	l	2	0.027 0.031 0.035 0.039
12	29.5 32.5 35.5 38.5	blag	knurp	a	l	2	0.034 0.038 0.042 0.046
13	29.5 32.5 35.5 38.5	blag	knurp	l	a	1	0.027 0.031 0.035 0.039
14	29.5 32.5 35.5 38.5	blag	knurp	l	a	1	0.034 0.038 0.042 0.046
15	29.5 32.5 35.5 38.5	blag	knurp	l	a	2	0.027 0.031 0.035 0.039
16	29.5 32.5 35.5 38.5	blag	knurp	l	a	2	0.034 0.038 0.042 0.046
17	51.5 54.5 57.5 60.5	knurp	blag	a	l	1	0.027 0.031 0.035 0.039
18	51.5 54.5 57.5 60.5	knurp	blag	a	l	1	0.034 0.038 0.042 0.046
19	51.5 54.5 57.5 60.5	knurp	blag	a	l	2	0.027 0.031 0.035 0.039
20	51.5 54.5 57.5 60.5	knurp	blag	a	l	2	0.034 0.038 0.042 0.046
21	51.5 54.5 57.5 60.5	knurp	blag	l	a	1	0.027 0.031 0.035 0.039
22	51.5 54.5 57.5 60.5	knurp	blag	l	a	1	0.034 0.038 0.042 0.046
23	51.5 54.5 57.5 60.5	knurp	blag	l	a	2	0.027 0.031 0.035 0.039
24	51.5 54.5 57.5 60.5	knurp	blag	l	a	2	0.034 0.038 0.042 0.046
25	51.5 54.5 57.5 60.5	blag	knurp	a	l	1	0.027 0.031 0.035 0.039
26	51.5 54.5 57.5 60.5	blag	knurp	a	l	1	0.034 0.038 0.042 0.046
27	51.5 54.5 57.5 60.5	blag	knurp	a	l	2	0.027 0.031 0.035 0.039
28	51.5 54.5 57.5 60.5	blag	knurp	a	l	2	0.034 0.038 0.042 0.046
29	51.5 54.5 57.5 60.5	blag	knurp	l	a	1	0.027 0.031 0.035 0.039
30	51.5 54.5 57.5 60.5	blag	knurp	l	a	1	0.034 0.038 0.042 0.046
31	51.5 54.5 57.5 60.5	blag	knurp	l	a	2	0.027 0.031 0.035 0.039
32	51.5 54.5 57.5 60.5	blag	knurp	l	a	2	0.034 0.038 0.042 0.046
