Trial_Number	Angles	Label1	Label2	Same_key	Diff_key	Transfer_Task_Order	Grating_Frequency
1	[50 53 56 59]	knurp	blash	z	.	1	[0.03  0.034 0.038 0.042]
2	[50 53 56 59]	knurp	blash	z	.	1	[0.033 0.037 0.041 0.045]
3	[50 53 56 59]	knurp	blash	z	.	2	[0.03  0.034 0.038 0.042]
4	[50 53 56 59]	knurp	blash	z	.	2	[0.033 0.037 0.041 0.045]
5	[50 53 56 59]	knurp	blash	.	z	1	[0.03  0.034 0.038 0.042]
6	[50 53 56 59]	knurp	blash	.	z	1	[0.033 0.037 0.041 0.045]
7	[50 53 56 59]	knurp	blash	.	z	2	[0.03  0.034 0.038 0.042]
8	[50 53 56 59]	knurp	blash	.	z	2	[0.033 0.037 0.041 0.045]
9	[50 53 56 59]	blash	knurp	z	.	1	[0.03  0.034 0.038 0.042]
10	[50 53 56 59]	blash	knurp	z	.	1	[0.033 0.037 0.041 0.045]
11	[50 53 56 59]	blash	knurp	z	.	2	[0.03  0.034 0.038 0.042]
12	[50 53 56 59]	blash	knurp	z	.	2	[0.033 0.037 0.041 0.045]
13	[50 53 56 59]	blash	knurp	.	z	1	[0.03  0.034 0.038 0.042]
14	[50 53 56 59]	blash	knurp	.	z	1	[0.033 0.037 0.041 0.045]
15	[50 53 56 59]	blash	knurp	.	z	2	[0.03  0.034 0.038 0.042]
16	[50 53 56 59]	blash	knurp	.	z	2	[0.033 0.037 0.041 0.045]
